username,review,score
FuxieDK,"Hej,

Jeg mangler en måde at se at appen rent faktisk virker.
Jeg tænker noget i stil med, der hvor der står aktiv/inaktiv får man en tekst der siger ""Du har været i kontakt med X personer der bruger appen. Y af dem er konstateret smittet.""

På den måde ville jeg føle mig mere sikker på at det rent faktisk virker.",4
Den der elsker det her spil,Kan ikke få ligning til at virke på 6S,3
Von Barnfield,...og det er hvad min ægteviv kan opdatere sin iPhone 6 til. Så appen virker tilsyneladende ikke på ældre iPhones. Det trækker ned.,2
Sualcgis,"Det er en god ansvarlig digital løsning, der sætter individet i centrum for kontrollen.",5
koalalorenzo_dk,"I wish it was translated in English too, for internationals living in Denmark... but hey, it is Denmark, not Italy: Immuny (the Italian app) works in English too... I wish this app was translated :( 3/5 stars just because of ignoring minorities like foreigners, is very bad!",3
Kong nisse,"Har man ikke lavet et selvmål når app’en kun virker på nyeste iOS og ikke til iOS 12.x.
Der er mange der stadig har iPhone 6 hvor iOS 13.5 ikke virker på",2
ArtfulDodgerDK,"Appen sender besked om at “Din enhed har identificeret X potentielle eksponeringer i denne uge”. Går man herefter ind på app’en er der ingen beskeder til en. Hvad skal man så bruge den besked til? Den er tydeligvis ligegyldig. Det er synd, for ideen med appen er god. Men hvis man som bruger ikke kan finde information om hvordan man skal forholde sig til en sådan besked er den desværre ikke særligt brugbar. Stram op!",1
Peder-fra-danmark,"Vil gerne installere, men får at vide, appen kræver en nyere iOS end der kan installeres på min iPhone 6.
Ærgerligt :-/",1
JensG-60,"Hvorfor kræver appen iOS 13.5 eller højere? Der er stadig mange, der bruger ældre telefoner, som ikke kan opgraderes. De er dermed afskåret fra at bruge appen. Da det typisk er ældre - og dermed sårbare, der har ældre telefoner, giver det slet ingen mening.",1
A301008,Virker ikke på iPhone 6 - ikke godt nok,1
Hønsi,Jeg har fået en besked om at jeg i nat har været sammen med en smittet. Der sov jeg. Der er vedhæftet et dokument i appen med “0” data.,3
mads2400,"Har iPhone 6s og kan derfor ikke bruge denne app da jeg ikke kan få IOS 13.5, som er minimumskrav.",1
Zavior,Simpel app der er nem at bruge og med privatlivsikkerhed i fokus. Appen bruger Apples API.,5
iresimwei,"Jeg har haft downloaded app nærmest fra start.
Pludselig er den ikke længere aktiv - jeg kan ikke ændre den røde cirkel til grøn.
Jeg har slettet app og installeret på ny.
Jeg har godkendt og jeg har tilslutter Bluetooth",1
PanterDK,"Har ingen notifikationer fået siden aktivering, og da jeg åbnede appen af nysgerrighed, så er den - uden at give besked - blevet inaktiv. Lige meget hvad jeg gør, kan jeg ikke genaktivere appen - det er sgu lidt sløjt!",1
Muffeschultz,"Forstår formål med app - men alligevel er jeg “peget” ud via app til at have været i nærkontakt med en smittet person. Jeg kender ingen der er smittet og har ikke været i kontakt med smitte. Ved at min genbo er smittet og det højst sandsynligt er det der har gjort udfaldet via telefonens Bluetooth igennem væg imellem lejlighederne. 
Jeg gør min samfundspligt og er testet (negativ). 
Har derefter slettet app.",1
Heiniceni,"Ser 3 dage efter at jeg har fået en meddelse om at have været tæt på en smittet, det må da kunne gøres bedre.
Man kigger jo ikke i appen hver dag",1
michhans,"Siden jeg installerede app’en kan jeg konstatere et markant forbrug på batteriet. Jeg har ellers været vant til kun at oplade én gang i døgnet, men er nu nødt til det oftere.
Får fire stjerner i forventning om, at den virker efter hensigten.",4
nikkanorrs,I live with 3 people who tested positive for corona and they all have this app but I never received any update at all.,1
kpe00,"Kan ikke få lov til at aktivere app’en, efter skift til IPhone 12 (IOS 14.2.1).
Den smider mig bare til ‘indstillinger’, og dér kan jeg ikke ændre noget, så det kommer til at virke.",1
nannambh,"Jeg får som regel en samlet total i en push besked for en uge ad gangen. Det er det. Jeg aner dermed ikke om jeg har været i kontakt før eller efter evt. test i samme periode. 
Beskederne står heller ikke i appen - så hvis jeg ikke har tid til at se beskeden med det samme, så forsvinder informationen. 
Oplysningerne har ingen værdi for mig.",2
kyllekopp,"Hej jeg syntes ikke den virker 
Jeg er registreret smittet med covid 19 i mandags d 16 november og min mand onsdag og vi har ingen beskeder fået ?",1
Den stille som gerne vil træne,Smittestop appen virker ikke optimal.,1
barfredS.,"Efter seneste IOS opdatering starter den ikke op. 

Der kommer den blå baggrundsskærm. Og intet andet.",1
jjcomey11,New version 2.0 App is hanging crashing on iPhone 11 iOS 14.2,1
Bessenr1,Hm skulle der ikke være kommet en ny opdatering da der har været fejl i den nuværende version ? Det er over en måned siden sidste opdatering!,3
BD8250,"Undrer mig meget over at jeg ikke kan downloade app’en på en iPhone 6; telefonen er opdateret til en version før 13xx
Hvorfor kan den ikke downloades til tidligere versioner?
Idéen er jo super fin og den vil jeg gerne støtte op om.",1
larklud,App’en sluger rigtig meget strøm. Telefonen skal oplades væsentlig hyppigere end uden app’en. Ikke godt for miljøet.,3
Clausguld,"Ellers en god app, desværre dræner den telefonen hurtigt for strøm. Afinstalleret igen.",1
ironlale,"Glimrende, sikker og lettilgængelig app.
Anvender Apples corona-api, der blev frigivet med iOS 13.5, hvorfor den ikke kan bruges på telefoner, der kører tidligere versioner.
Husk, at have Bluetooth tændt - ellers kan telefonerne ikke se hinanden, og app'en er virkningsløs.",5
Daller22222,God brugervenlighed og datasikkerhed,5
2515,Men man skal selv huske at aktivere Bluetooth . Appen gør det ikke . Virker i hvert fald ikke hos mig . Men ellers fin app.,5
simonbbastian,"Kender til hvordan Apples API beskytter privat liv, så man kan med ro i maven bruge den.",5
Niklas A. G.,"Teksten er let at forstå. Jeg får den information, jeg efterspørger. Designet er flot og intuitivt at bruge.",5
Jensole1964,"Nu hvor vaccinationerne er i gang ville det være dejligt at man kunne se det tal også inde i “Se dagens tal”
Man kunne erstatte “Antal smitte stop downloads” med vaccinerede - downloads er der sikkert alligevel kun for at skabe symmetri.",4
PEgerup,Godt at vi kan udnytte teknologi til at afdække smittespredning så tidligt som muligt.,5
dk_niko,Når man skal melde sig smittet siger app’en at den ikke kan finde test resultatet - hele den første dag efter man har fået snar. Det er ikke særlig smart for det er jo der folk er opmærksomme på at melde ind at de er smittede.,1
Mac Henrik,"Jeg har brugt denne app siden den kom ud, på trods af min bekymring omkring logning. Men når sandheden skal frem, ikke en eneste gang har jeg fået en alarm. Flere gange ved jeg at jeg har været i tæt kontakt med folk der har været smittet! Så det er falsk sikkerhed. Den ryger ud nu! Håber ikke man har betalt for meget for udviklingen!",1
Rusmin Muratovic,"synes i burde lave det sådan , at  hvis man bliver testet positiv , så skal det automatisk registreres i smitte appen . Jeg tror desværre at der er mange som bliver testet positiv meeeen som ik vil selv logge ind med nemid for og advarer andre",5
Anja Abcd,"Jeg har forsøgt at geninstallere app’en, men man kan stadig ikke ændre fra inaktiv til aktiv. Også selvom der i tlf indstillinger er givet tilladelse til logning.",1
nichar,Jeg bor sammen med en corona smittet. Vi har begge iPhone og beggevtilmeldt appen. Begge har Bluetooth tændt. INGEN advarsel om noget som helst.,1
Familieliv,Den står som inaktiv og kan ikke aktiveres.,1
Ghjuytcvblok,"Ideen og formålet med appen er super, men udførslen er under l kritik! Det er virkelig venstrehåndsarbejde rent UI mæssigt. Prøv at gå til dagens smittetal og tilbage - Wow! De transitions der bliver lavet der, er... “nytænkende”, mildest talt. Puha noget juks! Dagens smittetal præsenteres med et push, og derefter et modalview ovenpå et tomt view?! Og når man vil lukke det, kommer hovedsiden op OVENPÅ igen, i stedet for bare at lukke det modalview man lige har åbnet?! Haha! Jeg har sjældent set noget så dumt. Har I overhovedet kvalitetssikring med i jeres usandsynligt overdrevne budget? Der burde være plads til det, kroner/ører-mæssigt tænker jeg. Hold da op en god sælger I har haft på her.. håbløst håndværk i den måske den dyreste app i dk til dato! Jeg er målløs!...",1
dsbæ,35% af batteriforbrug på min telefon? Jeg troede dette skulle fikses. Slettet.,1
Joha5919,"Min mor bør have appen da hun er immunsvag, men fordi hun har en ældre iPhone kan hun ikke.
Jeg fik ny telefon for en måned siden, men før det kunne jeg heller ikke få appen. En iPhone 6 er ikke gammel, den burde virke derpå.
Jeg syntes det er lidt dumt at folk der gerne vil have appen ikke kan få den fordi deres telefon er for gammel.",4
Anita DC,"For første gang for et par dage siden, fik jeg besked om at have været tæt på en smittet, men kunne ikke se hvor eller hvornår? På F.eks. arbejde, ved indkøb...(fulgtes jeg med andre der også burde testes, som ikke har appen). Tidspunktet (evt bare datoen), så man ved hvor længe siden det er man evt har været udsat for smitte. Er man allerede testet siden, hvem har man været sammen med efterfølgende, som man måske skal være opmærksom på..  Er det fordi at man så risikere at afsløre persondata? Synes i min situation at det var ret frustrerende ikke at vide, og savnede disse informationer...",2
Leon Frantzen,Den kan ikke bruges til noget giver falske beskeder har slettet den igen efter at have været unødigt i isolation,1
Law_dk,"På min iPhone kan jeg ikke få appen til at gå online selv om alt er slået til i indstillinger
Afinstalleret og installeret 3x",1
Bidronningen,Virker ikke på SE,1
Mogens Thomsen,"Har haft denne APP siden starten og har indtil nu aldrig fået nogen notifikation, selvom flere i min omgangskreds er blevet testet positiv!",1
BorreBoy,"Men jeg bruger den ikke, da den bruger for meget strøm. 
Kan den ikke integreres med app'en Genveje, så den automatisk aktiveres når man forlader sit hjem, og slukker når man kommer hjem igen?",3
the second musketeer,"This is the most useless piece of software I have ever seen. 
The all premise of the Smitte|stop app is to let warn people you have been in close proximity with that you tested positive, so that, in turn they get tested and prevent the virus to spread even more. 

All that sounds great on paper. Except that the developers of this app did an awful job. 

I tested positive 4 days ago and immediately tried to warn people using this app. Every time I try I get a error telling me that it might be a technical issue and that I need to try later. 

I got a nurse from the Danish government on the phone who told me to simply give up trying. 

As of today I still haven’t been able to reach out to the people I ran into through this app. 

Absolutely useless.",1
Engmark,"Appen bruger utroligt meget plads, når man tænker på hvad den bruges til. Lige pt. bruger Appen 2.6 GB til data!!",2
iPhoner1234593,"Nu mangler i bare at opdatere appen således at den er kompatibel med ældre iPhones som iPhone 5, 5S og 6. Apple har netop opdateret tidligere versioner af iOS således at de er kompatible med kontakt sporing.

Dbh
Alex",5
Lyzet71,Selv om jeg har været inde i indstillinger og sikret mig at alt er slået til som det skal så virker den simpelthen ikke. Det duer simpelthen ikke. Det er den app alt for vigtig til. Få det fixet. Nuuuu!,1
Eru1977,Min kone blev testet positiv og meld sig i appen. Nu det er en dag efter og appen sige ikke noget. Det er til grin. Den virker bare ikke.,1
Oleblume,"Der er mange indicier på, at app ikke fungerer optimalt !",1
NeveDortheDenmark,"Jeg har nu over flere dage oplevet, at min app blot viser blå skærm, når jeg åbner smittestop app. Tvivler derfor på om den virker.",1
Fam. B. Kristensen,"Som flere andre skriver, kan jeg heller ikke skifte fra inaktiv til aktiv.
Rigtig ærgerligt, jeg vil gerne bidrage og have viden, hvis jeg har været i nærheden af en der er smittet, men det her giver desværre en falsk tryghed.",1
Jonas.E.K,"Appen bruger alt for meget strøm på telefonen når den er downloaded. Har oplevet en ellers fejlfri, og fuldt opladet iPhone blive drænet i løbet af en nat, fordi appen “vågner” og logger data. Dertil virker den alt for ustabil til at fungere som det værktøj den var tiltænkt til.",1
Momne,"Jeg kan slet ikke få appen til at virke, da jeg ikke må ændre min status fra inaktiv til aktiv, da jeg inde i indstillinger slet ikke kan slå det der logning af eksponering til. Der står det ikke er tilgængeligt i mit område, men jeg har en iphone 7 og bor i København. Hvad skal jeg gøre?",1
R3000,Nu bliver den slettet. Fejl på fejl har gjort den til et utroværdigt redskab.,1
Sriramaero,App has bugs. It shows only a blue screen after opening.,1
